source_image,target_image,pose_error_norm,pose_best_output,expression_sim,expression_best_output,id_similarity,id_best_output,valid_outputs,total_outputs
/storage/users/multicog/mehul/RealismGuidance/data/source/27003.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/28769.jpg,0.0696,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/27003__28769/n08/img/27003__28769__final__s07.png,0.9936,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/27003__28769/n08/img/27003__28769__final__s00.png,0.3143,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/27003__28769/n08/img/27003__28769__final__s06.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/26373.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/18636.jpg,0.7432,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/26373__18636/n08/img/26373__18636__final__s07.png,0.9824,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/26373__18636/n08/img/26373__18636__final__s00.png,0.5565,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/26373__18636/n08/img/26373__18636__final__s05.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/03301.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/27544.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/03301__27544/n08/img/03301__27544__final__s00.png,0.987,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/03301__27544/n08/img/03301__27544__final__s04.png,0.5149,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/03301__27544/n08/img/03301__27544__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/10663.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/01363.jpg,0.046,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10663__01363/n08/img/10663__01363__final__s00.png,0.9987,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10663__01363/n08/img/10663__01363__final__s02.png,0.4534,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10663__01363/n08/img/10663__01363__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/24200.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/01080.jpg,0.0588,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/24200__01080/n08/img/24200__01080__final__s06.png,0.9833,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/24200__01080/n08/img/24200__01080__final__s04.png,0.2214,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/24200__01080/n08/img/24200__01080__final__s07.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/04481.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/26502.jpg,0.108,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/04481__26502/n08/img/04481__26502__final__s02.png,0.9967,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/04481__26502/n08/img/04481__26502__final__s00.png,0.5148,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/04481__26502/n08/img/04481__26502__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/13269.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/08835.jpg,0.1122,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/13269__08835/n08/img/13269__08835__final__s00.png,0.9942,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/13269__08835/n08/img/13269__08835__final__s05.png,0.349,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/13269__08835/n08/img/13269__08835__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/01193.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/07240.jpg,0.0085,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/01193__07240/n08/img/01193__07240__final__s04.png,0.9916,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/01193__07240/n08/img/01193__07240__final__s05.png,0.3404,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/01193__07240/n08/img/01193__07240__final__s07.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/19610.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/15009.jpg,0.0772,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/19610__15009/n08/img/19610__15009__final__s02.png,0.9927,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/19610__15009/n08/img/19610__15009__final__s00.png,0.3735,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/19610__15009/n08/img/19610__15009__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/09737.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/01452.jpg,0.1179,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/09737__01452/n08/img/09737__01452__final__s05.png,0.9607,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/09737__01452/n08/img/09737__01452__final__s02.png,0.3457,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/09737__01452/n08/img/09737__01452__final__s02.png,8,8
