source_image,target_image,source_aligned,target_aligned,source_mask,target_mask,merged_mask
27003.jpg,28769.jpg,data/align/source/27003__28769.png,data/align/target/27003__28769.png,data/mask/source/27003__28769.png,data/mask/target/27003__28769.png,data/mask/merged/27003__28769.png
26373.jpg,18636.jpg,data/align/source/26373__18636.png,data/align/target/26373__18636.png,data/mask/source/26373__18636.png,data/mask/target/26373__18636.png,data/mask/merged/26373__18636.png
03301.jpg,27544.jpg,data/align/source/03301__27544.png,data/align/target/03301__27544.png,data/mask/source/03301__27544.png,data/mask/target/03301__27544.png,data/mask/merged/03301__27544.png
10663.jpg,01363.jpg,data/align/source/10663__01363.png,data/align/target/10663__01363.png,data/mask/source/10663__01363.png,data/mask/target/10663__01363.png,data/mask/merged/10663__01363.png
24200.jpg,01080.jpg,data/align/source/24200__01080.png,data/align/target/24200__01080.png,data/mask/source/24200__01080.png,data/mask/target/24200__01080.png,data/mask/merged/24200__01080.png
04481.jpg,26502.jpg,data/align/source/04481__26502.png,data/align/target/04481__26502.png,data/mask/source/04481__26502.png,data/mask/target/04481__26502.png,data/mask/merged/04481__26502.png
13269.jpg,08835.jpg,data/align/source/13269__08835.png,data/align/target/13269__08835.png,data/mask/source/13269__08835.png,data/mask/target/13269__08835.png,data/mask/merged/13269__08835.png
01193.jpg,07240.jpg,data/align/source/01193__07240.png,data/align/target/01193__07240.png,data/mask/source/01193__07240.png,data/mask/target/01193__07240.png,data/mask/merged/01193__07240.png
19610.jpg,15009.jpg,data/align/source/19610__15009.png,data/align/target/19610__15009.png,data/mask/source/19610__15009.png,data/mask/target/19610__15009.png,data/mask/merged/19610__15009.png
09737.jpg,01452.jpg,data/align/source/09737__01452.png,data/align/target/09737__01452.png,data/mask/source/09737__01452.png,data/mask/target/09737__01452.png,data/mask/merged/09737__01452.png
08216.jpg,18833.jpg,data/align/source/08216__18833.png,data/align/target/08216__18833.png,data/mask/source/08216__18833.png,data/mask/target/08216__18833.png,data/mask/merged/08216__18833.png
07631.jpg,02338.jpg,data/align/source/07631__02338.png,data/align/target/07631__02338.png,data/mask/source/07631__02338.png,data/mask/target/07631__02338.png,data/mask/merged/07631__02338.png
22350.jpg,17224.jpg,data/align/source/22350__17224.png,data/align/target/22350__17224.png,data/mask/source/22350__17224.png,data/mask/target/22350__17224.png,data/mask/merged/22350__17224.png
11754.jpg,08106.jpg,data/align/source/11754__08106.png,data/align/target/11754__08106.png,data/mask/source/11754__08106.png,data/mask/target/11754__08106.png,data/mask/merged/11754__08106.png
18500.jpg,11790.jpg,data/align/source/18500__11790.png,data/align/target/18500__11790.png,data/mask/source/18500__11790.png,data/mask/target/18500__11790.png,data/mask/merged/18500__11790.png
01530.jpg,24138.jpg,data/align/source/01530__24138.png,data/align/target/01530__24138.png,data/mask/source/01530__24138.png,data/mask/target/01530__24138.png,data/mask/merged/01530__24138.png
