source_image,target_image,pose_error_norm,pose_best_output,expression_sim,expression_best_output,id_similarity,id_best_output,valid_outputs,total_outputs
/storage/users/multicog/mehul/RealismGuidance/data/source/27003.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/28769.jpg,0.1291,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/27003__28769/n08/img/27003__28769__final__s05.png,0.9937,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/27003__28769/n08/img/27003__28769__final__s05.png,0.3281,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/27003__28769/n08/img/27003__28769__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/26373.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/18636.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/26373__18636/n08/img/26373__18636__final__s00.png,0.9675,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/26373__18636/n08/img/26373__18636__final__s00.png,0.7031,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/26373__18636/n08/img/26373__18636__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/03301.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/27544.jpg,0.0999,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03301__27544/n08/img/03301__27544__final__s02.png,0.9898,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03301__27544/n08/img/03301__27544__final__s06.png,0.521,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03301__27544/n08/img/03301__27544__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/10663.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/01363.jpg,0.0275,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10663__01363/n08/img/10663__01363__final__s00.png,0.9976,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10663__01363/n08/img/10663__01363__final__s01.png,0.6153,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10663__01363/n08/img/10663__01363__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/24200.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/01080.jpg,0.7274,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/24200__01080/n08/img/24200__01080__final__s00.png,0.9934,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/24200__01080/n08/img/24200__01080__final__s07.png,0.3279,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/24200__01080/n08/img/24200__01080__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/04481.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/26502.jpg,0.1188,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04481__26502/n08/img/04481__26502__final__s05.png,0.995,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04481__26502/n08/img/04481__26502__final__s04.png,0.3489,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04481__26502/n08/img/04481__26502__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/13269.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/08835.jpg,0.1103,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/13269__08835/n08/img/13269__08835__final__s06.png,0.9911,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/13269__08835/n08/img/13269__08835__final__s01.png,0.3174,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/13269__08835/n08/img/13269__08835__final__s01.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/01193.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/07240.jpg,0.0355,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/01193__07240/n08/img/01193__07240__final__s03.png,0.9955,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/01193__07240/n08/img/01193__07240__final__s03.png,0.4121,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/01193__07240/n08/img/01193__07240__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/19610.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/15009.jpg,0.0434,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19610__15009/n08/img/19610__15009__final__s07.png,0.9954,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19610__15009/n08/img/19610__15009__final__s05.png,0.3671,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19610__15009/n08/img/19610__15009__final__s05.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/09737.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/01452.jpg,0.1647,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/09737__01452/n08/img/09737__01452__final__s05.png,0.9941,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/09737__01452/n08/img/09737__01452__final__s07.png,0.2795,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/09737__01452/n08/img/09737__01452__final__s05.png,8,8
